2026-03-18 13:11:26 | . | User: shosh | Duration: 8ms
2026-03-18 13:11:26 | Bakery.Get | User: shosh | Duration: 41ms
2026-03-18 13:11:31 | Bakery.Delete | User: shosh | Duration: 34ms
2026-03-18 13:16:20 | . | User: shosh | Duration: 6ms
2026-03-18 13:16:20 | . | User: shosh | Duration: 84853ms
2026-03-18 13:28:51 | . | User: shosh | Duration: 10ms
2026-03-18 13:28:51 | Bakery.Get | User: shosh | Duration: 57ms
2026-03-18 13:28:59 | . | User: shosh | Duration: 0ms
2026-03-18 13:28:59 | Bakery.Get | User: shosh | Duration: 1ms
2026-03-18 13:29:08 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:29:08 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:29:08 | Bakery.Create | User: shosh | Duration: 51ms
2026-03-18 13:29:08 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:29:32 | Bakery.Delete | User: shosh | Duration: 7ms
2026-03-18 13:29:32 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:29:32 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:29:32 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:28:59 | . | User: shosh | Duration: 39265ms
2026-03-18 13:29:38 | User.GetMe | User: shosh | Duration: 5ms
2026-03-18 13:29:40 | . | User: shosh | Duration: 0ms
2026-03-18 13:29:40 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:38:54 | . | User: shosh | Duration: 6ms
2026-03-18 13:38:54 | Bakery.Get | User: shosh | Duration: 57ms
2026-03-18 13:39:11 | . | User: shosh | Duration: 0ms
2026-03-18 13:39:11 | Bakery.Get | User: shosh | Duration: 1ms
2026-03-18 13:39:21 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:39:21 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:39:21 | Bakery.Create | User: shosh | Duration: 83ms
2026-03-18 13:39:21 | Bakery.Get | User: shosh | Duration: 0ms
2026-03-18 13:38:54 | . | User: shosh | Duration: 37651ms
2026-03-18 13:39:32 | User.GetMe | User: shosh | Duration: 5ms
2026-03-18 13:40:09 | Login.Login | User: unknown | Duration: 16ms
2026-03-18 13:40:41 | User.GetMe | User: tamar | Duration: 0ms
2026-03-18 13:41:18 | Bakery.Get | User: tamar | Duration: 0ms
2026-03-18 13:39:12 | . | User: shosh | Duration: 197916ms
2026-03-18 13:42:35 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 13:42:37 | . | User: שבי | Duration: 0ms
2026-03-18 13:42:37 | Bakery.Get | User: שבי | Duration: 6ms
2026-03-18 13:42:37 | . | User: שבי | Duration: 3630ms
2026-03-18 13:42:40 | User.Get | User: שבי | Duration: 4ms
2026-03-18 13:42:40 | User.GetMe | User: שבי | Duration: 0ms
2026-03-18 13:42:40 | User.Get | User: שבי | Duration: 0ms
2026-03-18 13:42:43 | . | User: שבי | Duration: 0ms
2026-03-18 13:42:43 | Bakery.Get | User: שבי | Duration: 0ms
2026-03-18 13:42:55 | . | User: שבי | Duration: 0ms
2026-03-18 13:42:55 | Bakery.Get | User: שבי | Duration: 0ms
2026-03-18 13:43:00 | Bakery.Delete | User: שבי | Duration: 11ms
2026-03-18 13:43:00 | Bakery.Get | User: שבי | Duration: 1ms
2026-03-18 13:43:00 | Bakery.Get | User: שבי | Duration: 0ms
2026-03-18 13:43:00 | Bakery.Get | User: שבי | Duration: 0ms
2026-03-18 13:45:27 | . | User: שבי | Duration: 8ms
2026-03-18 13:45:27 | Bakery.Get | User: שבי | Duration: 70ms
2026-03-18 13:45:27 | . | User: שבי | Duration: 3042ms
2026-03-18 13:46:47 | Login.Login | User: unknown | Duration: 27ms
2026-03-18 13:46:48 | . | User: rivki | Duration: 0ms
2026-03-18 13:46:48 | Bakery.Get | User: rivki | Duration: 4ms
2026-03-18 13:47:36 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 13:47:36 | Bakery.Create | User: rivki | Duration: 40ms
2026-03-18 13:47:36 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 13:48:02 | . | User: rivki | Duration: 0ms
2026-03-18 13:48:02 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 13:48:10 | Bakery.Create | User: rivki | Duration: 3ms
2026-03-18 13:48:10 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 13:48:10 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 13:48:10 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 13:46:48 | . | User: rivki | Duration: 100131ms
2026-03-18 13:48:28 | User.Get | User: rivki | Duration: 7ms
2026-03-18 13:48:28 | User.Get | User: rivki | Duration: 0ms
2026-03-18 13:48:28 | User.GetMe | User: rivki | Duration: 1ms
2026-03-18 13:48:48 | User.Update | User: rivki | Duration: 18ms
2026-03-18 13:48:48 | User.Get | User: rivki | Duration: 0ms
2026-03-18 13:49:30 | User.Create | User: rivki | Duration: 3ms
2026-03-18 13:49:32 | User.Get | User: rivki | Duration: 0ms
2026-03-18 13:49:58 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 13:50:03 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 13:50:16 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 13:50:17 | . | User: אסתי | Duration: 0ms
2026-03-18 13:50:17 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:50:17 | . | User: אסתי | Duration: 11467ms
2026-03-18 13:50:28 | User.GetMe | User: אסתי | Duration: 0ms
2026-03-18 13:50:46 | . | User: אסתי | Duration: 0ms
2026-03-18 13:50:46 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:50:56 | Bakery.Create | User: אסתי | Duration: 3ms
2026-03-18 13:50:56 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:50:56 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:51:16 | Bakery.Create | User: אסתי | Duration: 1ms
2026-03-18 13:51:16 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:51:16 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:52:01 | Bakery.Create | User: אסתי | Duration: 1ms
2026-03-18 13:52:01 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:52:01 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:52:11 | Bakery.Create | User: אסתי | Duration: 1ms
2026-03-18 13:52:11 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:52:11 | Bakery.Get | User: אסתי | Duration: 1ms
2026-03-18 13:52:24 | Bakery.Create | User: אסתי | Duration: 1ms
2026-03-18 13:52:25 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:52:25 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:50:46 | . | User: אסתי | Duration: 116760ms
2026-03-18 13:53:01 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 13:53:19 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 13:54:01 | User.GetMe | User: אסתי | Duration: 0ms
2026-03-18 13:54:26 | User.Update | User: אסתי | Duration: 0ms
2026-03-18 13:54:34 | User.Update | User: אסתי | Duration: 0ms
2026-03-18 13:55:03 | User.Update | User: אסתי | Duration: 0ms
2026-03-18 13:55:15 | User.Update | User: אסתי | Duration: 1ms
2026-03-18 13:55:41 | User.Update | User: אסתי | Duration: 0ms
2026-03-18 13:48:03 | . | User: rivki | Duration: 775697ms
2026-03-18 14:35:03 | . | User: rivki | Duration: 0ms
2026-03-18 14:35:03 | . | User: rivki | Duration: 6899ms
2026-03-18 15:12:59 | . | User: אסתי | Duration: 6ms
2026-03-18 15:12:59 | Bakery.Get | User: אסתי | Duration: 58ms
2026-03-18 15:12:59 | . | User: unknown | Duration: 0ms
2026-03-18 15:13:22 | . | User: אסתי | Duration: 0ms
2026-03-18 15:13:22 | Bakery.Get | User: אסתי | Duration: 1ms
2026-03-18 15:13:50 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:13:50 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:13:50 | Bakery.Create | User: אסתי | Duration: 57ms
2026-03-18 15:13:50 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:16:16 | Bakery.Create | User: אסתי | Duration: 2ms
2026-03-18 15:16:16 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:16:16 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:16:16 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:13:23 | . | User: אסתי | Duration: 194108ms
2026-03-18 15:16:37 | User.GetMe | User: אסתי | Duration: 6ms
2026-03-18 15:12:59 | . | User: אסתי | Duration: 962496ms
2026-03-18 15:29:01 | . | User: אסתי | Duration: 0ms
2026-03-18 15:36:58 | . | User: אסתי | Duration: 4ms
2026-03-18 15:36:58 | Bakery.Get | User: אסתי | Duration: 77ms
2026-03-18 15:37:03 | Bakery.Delete | User: אסתי | Duration: 45ms
2026-03-18 15:37:03 | Bakery.Get | User: אסתי | Duration: 1ms
2026-03-18 15:37:03 | Bakery.Get | User: אסתי | Duration: 0ms
2026-03-18 15:36:58 | . | User: אסתי | Duration: 35474ms
2026-03-18 15:37:37 | Login.Login | User: unknown | Duration: 24ms
2026-03-18 15:37:38 | . | User: rivki | Duration: 0ms
2026-03-18 15:37:38 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 15:37:45 | Bakery.Delete | User: rivki | Duration: 2ms
2026-03-18 15:37:45 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 15:37:45 | Bakery.Get | User: rivki | Duration: 0ms
2026-03-18 15:37:38 | . | User: rivki | Duration: 23224ms
2026-03-18 15:38:07 | Login.Login | User: unknown | Duration: 0ms
2026-03-18 15:38:08 | . | User: שבי | Duration: 0ms
2026-03-18 15:38:08 | Bakery.Get | User: שבי | Duration: 0ms
2026-03-18 15:38:14 | Bakery.Get | User: שבי | Duration: 0ms
2026-03-18 15:38:14 | Bakery.Create | User: שבי | Duration: 44ms
2026-03-18 15:38:14 | Bakery.Get | User: שבי | Duration: 0ms
